Id2,Geography,Total; Estimate; Households,Total; Estimate; Population 18 to 24 years,Gross Rent,Housing Units,Pop,Total for all sectors,Year,"Agriculture, forestry, fishing and hunting_norm","Mining, quarrying, and oil and gas extraction_norm",Utilities_norm,Construction_norm,Manufacturing_norm,Wholesale trade_norm,Retail trade_norm,Transportation and warehousing_norm,Information_norm,Finance and insurance_norm,Real estate and rental and leasing_norm,"Professional, scientific, and technical services_norm",Management of companies and enterprises_norm,Administrative and support and waste management and remediation services_norm,Educational services_norm,Health care and social assistance_norm,"Arts, entertainment, and recreation_norm",Accommodation and food services_norm,Other services (except public administration)_norm,Industries not classified_norm,Pop norm travel time,Est_%_change
10180,"Abilene, TX Metro Area",60066,22457,24096,70553,167800,3865,2012,0.002587322,0.036998706,0.010866753,0.08305304,0.030789133,0.051228978,0.16377749,0.031306598,0.018369987,0.074256145,0.045795602,0.077102199,0.005692109,0.039586028,0.009831824,0.108926261,0.017076326,0.086157827,0.10530401,0.001293661,7.198986889,0.005463059
10420,"Akron, OH Metro Area",280887,76280,92738,312864,702262,16588,2012,0.000723415,0.002290813,0.002471666,0.076139378,0.065047022,0.070954907,0.133771401,0.027248613,0.014227152,0.067156981,0.034000482,0.10483482,0.009464673,0.056366048,0.012659754,0.10815047,0.014347721,0.090185676,0.10947673,0.000482276,10.38869396,0.01134008
10500,"Albany, GA Metro Area",57699,17731,25047,65861,155019,3210,2012,0.009657321,0.000311526,0.002803738,0.065732087,0.029283489,0.057009346,0.204984424,0.029595016,0.011214953,0.077258567,0.052647975,0.085358255,0.005607477,0.043613707,0.006542056,0.120249221,0.009034268,0.082554517,0.10529595,0.001246106,7.639128107,-0.00987045
10580,"Albany-Schenectady-Troy, NY Metro Area",342705,99004,121536,394602,874646,21049,2012,0.001757803,0.000665115,0.001947836,0.110456554,0.028267376,0.043897572,0.143759799,0.019858426,0.019573376,0.063233408,0.039954392,0.110171505,0.006128557,0.050738752,0.014632524,0.114732291,0.018575704,0.108508718,0.102475177,0.000665115,10.4608836,0.001046274
10740,"Albuquerque, NM Metro Area",344869,88750,114440,377011,902794,18590,2012,0.00091447,0.001775148,0.002259279,0.094136633,0.036471221,0.053415815,0.132383002,0.023399677,0.017374933,0.064497041,0.055567509,0.133566434,0.007208176,0.046745562,0.017213556,0.119042496,0.013179129,0.089080151,0.09112426,0.000645508,9.622510783,0.006715044
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",314173,76653,95208,343354,827171,18256,2012,0.000931201,0.001150307,0.003067485,0.091750657,0.047436459,0.051873357,0.148280018,0.028702892,0.014460999,0.05417397,0.031496494,0.089614373,0.008983348,0.051544698,0.012927257,0.131408852,0.015118317,0.096899649,0.119686678,0.000492989,12.36819231,0.00451194
11020,"Altoona, PA Metro Area",50098,11697,14815,56154,127121,3210,2012,0.001557632,0.000311526,0.001557632,0.092523364,0.042367601,0.044548287,0.173831776,0.03271028,0.018691589,0.058878505,0.026168224,0.069158879,0.006853583,0.04517134,0.008722741,0.136448598,0.014018692,0.086915888,0.139252336,0.000311526,8.259453591,0.003125
11100,"Amarillo, TX Metro Area",94559,27908,34271,103729,254579,6106,2012,0.002784147,0.012446774,0.003603013,0.097117589,0.033082214,0.048968228,0.153783164,0.033901081,0.012446774,0.079266295,0.049950868,0.086799869,0.006059613,0.047821815,0.007697347,0.11578775,0.014412054,0.093514576,0.099737963,0.000818867,8.489624046,0.014622798
11180,"Ames, IA Metro Area",35541,27276,15659,37250,91140,2001,2012,0.008995502,0.0009995,0.003498251,0.093453273,0.03848076,0.04097951,0.145427286,0.017991004,0.024987506,0.064967516,0.047476262,0.105447276,0.005497251,0.047976012,0.010494753,0.095952024,0.018490755,0.115442279,0.112443778,0.0009995,8.686471363,-0.006947891
11260,"Anchorage, AK Metro Area",137052,42748,49958,154965,392535,10593,2012,0.004436892,0.008118569,0.001888039,0.125271406,0.021240442,0.04134806,0.10431417,0.038516001,0.019163599,0.04182007,0.043802511,0.123194562,0.01057302,0.064665345,0.013310677,0.135278014,0.019635608,0.092513924,0.090153875,0.000755216,10.83312316,0.021898514
11460,"Ann Arbor, MI Metro Area",137565,62573,56893,147734,350946,7957,2012,0.001508106,0.000628378,0.001508106,0.0620837,0.04222697,0.042101294,0.138243056,0.016337816,0.022118889,0.057308031,0.037576976,0.160738972,0.008797285,0.055045872,0.017468895,0.121528214,0.020485107,0.095513384,0.097901219,0.000879729,10.22718595,0.008619597
11540,"Appleton, WI Metro Area",87010,18761,22420,93783,228450,5836,2012,0.001884853,0.001884853,0.000856751,0.118574366,0.072481151,0.066312543,0.144105552,0.032213845,0.015421522,0.073851953,0.025188485,0.077278958,0.009424263,0.045921864,0.010966415,0.09287183,0.016792324,0.093899931,0.09989719,0.00017135,9.690347997,-0.000342583
11700,"Asheville, NC Metro Area",178131,34771,55464,215173,432406,11563,2012,0.001037793,0.000778345,0.001556689,0.108189916,0.039955029,0.042463029,0.15869584,0.019112687,0.014615584,0.053965234,0.050505924,0.106892675,0.004324137,0.052235579,0.013837239,0.11303295,0.016864136,0.097811987,0.103519848,0.000605379,8.887642632,0.017690547
12020,"Athens-Clarke County, GA Metro Area",67610,42026,29666,81771,194337,4372,2012,0.003888381,0.003659652,0.002744739,0.077081427,0.032021958,0.040256176,0.15873742,0.021729186,0.012122598,0.059926807,0.059011894,0.111390668,0.005718207,0.052378774,0.014181153,0.138380604,0.01326624,0.096980787,0.096065874,0.000457457,9.614689946,-0.006815084
12100,"Atlantic City-Hammonton, NJ Metro Area",100065,26296,35168,127361,275422,6449,2012,0.00108544,0.000465188,0.002946193,0.095673748,0.015041092,0.031942937,0.190572182,0.018762599,0.01054427,0.042177082,0.035044193,0.089316173,0.004186696,0.055047294,0.011164522,0.130873004,0.019692976,0.134129322,0.111024965,0.000310126,9.785547269,Nan
12220,"Auburn-Opelika, AL Metro Area",55520,31065,20988,64408,147257,2457,2012,0.004070004,0.001221001,0.002849003,0.085063085,0.045177045,0.032153032,0.193732194,0.022792023,0.014245014,0.062271062,0.044770045,0.080586081,0.002035002,0.054538055,0.010989011,0.095645096,0.008547009,0.131054131,0.107448107,0.000814001,10.29913688,0.04865557
12260,"Augusta-Richmond County, GA-SC Metro Area",204147,57474,68722,239519,568161,10343,2012,0.006767862,0.001450256,0.004447452,0.089722518,0.030552064,0.038480131,0.179251668,0.026491347,0.013439041,0.06448806,0.041960746,0.095426859,0.004544136,0.051725805,0.012085468,0.123948564,0.014405878,0.093106449,0.107125592,0.000580102,9.451203092,0.012233314
12700,"Barnstable Town, MA Metro Area",89766,15358,16530,160544,215423,8262,2012,0.005204551,0.00060518,0.001210361,0.121762285,0.023238925,0.025175502,0.182401356,0.017308158,0.016702977,0.038005326,0.039699831,0.088719438,0.002904866,0.073347858,0.011740499,0.097797144,0.02771726,0.137860082,0.087388042,0.001210361,10.32988585,0.017989157
